"category", "problem", "neighborhood", "neighborhood_size", "population", "inertia", "factor1", "factor2", "fitness"
"random", "s3v70c800-4.cnf", "ring", "3", "20", "1", "1.7", "2.3", "60"
"random", "s3v70c800-6.cnf", "ring", "3", "20", "1", "1.7", "2.3", "59"
"random", "s3v70c800-10.cnf", "ring", "3", "20", "1", "1.7", "2.3", "57"
"random", "s3v70c800-6.cnf", "ring", "3", "20", "1", "1.7", "2.3", "61"
"random", "s3v70c800-7.cnf", "ring", "3", "20", "1", "1.7", "2.3", "60"
"random", "s3v70c800-1.cnf", "ring", "3", "20", "1", "1.7", "2.3", "63"
"random", "s3v70c800-7.cnf", "ring", "3", "20", "1", "1.7", "2.3", "60"
"random", "s3v70c800-8.cnf", "ring", "3", "20", "1", "1.7", "2.3", "63"
"random", "s3v70c800-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "61"
"random", "s3v70c800-8.cnf", "ring", "3", "20", "1", "1.7", "2.3", "59"
"random", "s3v70c800-9.cnf", "ring", "3", "20", "1", "1.7", "2.3", "60"
"random", "s3v70c800-3.cnf", "ring", "3", "20", "1", "1.7", "2.3", "62"
"random", "s3v70c800-9.cnf", "ring", "3", "20", "1", "1.7", "2.3", "63"
"random", "s3v80c600-10.cnf", "ring", "3", "20", "1", "1.7", "2.3", "43"
"random", "s3v70c800-4.cnf", "ring", "3", "20", "1", "1.7", "2.3", "61"
"random", "s3v80c600-10.cnf", "ring", "3", "20", "1", "1.7", "2.3", "41"
"random", "s3v80c600-1.cnf", "ring", "3", "20", "1", "1.7", "2.3", "44"
"random", "s3v70c800-6.cnf", "ring", "3", "20", "1", "1.7", "2.3", "57"
"random", "s3v80c600-1.cnf", "ring", "3", "20", "1", "1.7", "2.3", "46"
"random", "s3v80c600-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "46"
"random", "s3v70c800-7.cnf", "ring", "3", "20", "1", "1.7", "2.3", "54"
"random", "s3v80c600-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "43"
"random", "s3v80c600-3.cnf", "ring", "3", "20", "1", "1.7", "2.3", "36"
"random", "s3v70c800-8.cnf", "ring", "3", "20", "1", "1.7", "2.3", "60"
"random", "s3v80c600-3.cnf", "ring", "3", "20", "1", "1.7", "2.3", "37"
"random", "s3v80c600-4.cnf", "ring", "3", "20", "1", "1.7", "2.3", "42"
"random", "s3v70c800-9.cnf", "ring", "3", "20", "1", "1.7", "2.3", "59"
"random", "s3v80c600-4.cnf", "ring", "3", "20", "1", "1.7", "2.3", "41"
"random", "s3v80c600-5.cnf", "ring", "3", "20", "1", "1.7", "2.3", "44"
"random", "s3v80c600-10.cnf", "ring", "3", "20", "1", "1.7", "2.3", "41"
"random", "s3v80c600-5.cnf", "ring", "3", "20", "1", "1.7", "2.3", "40"
"random", "s3v80c600-6.cnf", "ring", "3", "20", "1", "1.7", "2.3", "43"
