"category","problem","MH","avg_fit","Opt"
"crafted","brock400_1.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",269.3333333333333,"255"
"crafted","brock400_2.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",275.3333333333333,"252"
"crafted","brock400_2.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",281.26666666666665,"252"
"crafted","brock400_2.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",256.73333333333335,"252"
"crafted","brock400_2.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",255.46666666666667,"252"
"crafted","brock400_2.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",263.53333333333336,"252"
"crafted","brock400_2.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",277.8,"252"
"crafted","brock400_2.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",272.06666666666666,"252"
"crafted","brock400_2.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",259.3333333333333,"252"
"crafted","brock400_2.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",265.6,"252"
"crafted","brock400_2.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",259.46666666666664,"252"
"crafted","brock400_2.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",259.6,"252"
"crafted","brock400_2.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",266.8,"252"
"crafted","brock400_2.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",261,"252"
"crafted","brock400_2.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",267.3333333333333,"252"
"crafted","brock400_3.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",262.06666666666666,"238"
"crafted","brock400_3.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",266.8,"238"
"crafted","brock400_3.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",240.86666666666667,"238"
"crafted","brock400_3.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",241,"238"
"crafted","brock400_3.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",249.13333333333333,"238"
"crafted","brock400_3.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",264.3333333333333,"238"
"crafted","brock400_3.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",256.73333333333335,"238"
